nr,label,B,Be,V,S,A,P,R,lv,remark,gluco,ace,phos,cello,belowground,medicago,pH,WSA,whc
86,V-B,1,0,1,0,0,0,0,1,V,2.4582,0.7901,5.3674,0.5128,117.1,90.4,7,45.332002,42.9
87,V-B,1,0,1,0,0,0,0,1,V,1.696,0.9039,6.3172,0.2773,100.6,139.3,6.92,37.41833367,31.1
88,V-B,1,0,1,0,0,0,0,1,V,1.9355,0.87,6.0219,0.2474,1.5,16.1,7.02,60.56037961,38.5
89,V-B,1,0,1,0,0,0,0,1,V,2.1031,0.85,5.9381,0.2913,105.1,177.1,7.05,37.44389322,38.7
90,V-B,1,0,1,0,0,0,0,1,V,1.6242,0.5268,5.3355,0.3133,148.3,217.5,7.02,40.55734684,40.8
91,Be-B,1,1,0,0,0,0,0,1,Be,1.6003,0.9159,4.3658,0.6265,69.4,123.6,7.01,51.67547918,45.5
92,Be-B,1,1,0,0,0,0,0,1,Be,2.4263,1.0396,5.7625,0.6545,85.5,104.4,7.01,94.07630183,43.5
93,Be-B,1,1,0,0,0,0,0,1,Be,1.5404,0.9717,5.6428,0.6884,111.7,136.1,6.92,47.006067,34.8
94,Be-B,1,1,0,0,0,0,0,1,Be,2.5859,0.9418,8.117,0.5048,113.1,113,6.84,74.65496427,31.7
95,Be-B,1,1,0,0,0,0,0,1,Be,1.9514,1.0076,5.7505,0.4869,88.8,108.5,7.01,73.14126698,28.7
96,A-B,1,0,0,0,1,0,0,1,A,1.6202,1.0456,6.7282,0.4729,54.4,67.4,6.95,36.04717202,35.7
97,A-B,1,0,0,0,1,0,0,1,A,1.5444,1.0535,7.5623,0.5108,145.2,241.3,6.85,41.34495221,36.2
98,A-B,1,0,0,0,1,0,0,1,A,2.566,0.6345,5.5151,0.421,113.5,120.8,6.81,32.05673309,39.5
99,A-B,1,0,0,0,1,0,0,1,A,2.3744,0.6764,5.0522,0.5248,70.6,104.2,7.07,80.81645287,36.8
100,A-B,1,0,0,0,1,0,0,1,A,2.554,0.9597,6.3252,0.6146,44.5,94.9,7,57.26623484,33.3
101,P-B,1,0,0,0,0,1,0,1,P,2.9451,0.6545,6.2055,0.4809,69.2,96.8,6.93,66.81078248,42.1
102,P-B,1,0,0,0,0,1,0,1,P,2.2747,0.9997,8.109,0.5826,124.1,155.2,6.96,82.88929499,31.8
103,P-B,1,0,0,0,0,1,0,1,P,2.1789,0.7542,5.5151,0.2195,59.2,66.4,6.84,74.96903766,42.4
104,P-B,1,0,0,0,0,1,0,1,P,2.2308,0.5587,3.859,0.6684,8.3,14,6.9,40.09166085,38.2
105,P-B,1,0,0,0,0,1,0,1,P,1.9714,0.6425,5.1918,0.1576,135.5,120.9,7.02,69.4193815,37
106,R-B,1,0,0,0,0,0,1,1,R,1.5843,0.8281,4.3059,0.5587,66.7,85.5,6.99,49.641429,31.1
107,R-B,1,0,0,0,0,0,1,1,R,1.6481,0.6225,5.1878,0.1117,106.7,116.9,7.03,45.98736734,41.6
108,R-B,1,0,0,0,0,0,1,1,R,1.5603,0.9159,5.6707,0.2135,90.6,98.6,6.85,82.62833292,32.7
109,R-B,1,0,0,0,0,0,1,1,R,2.4742,0.7383,6.2972,0.3372,47.9,78.3,6.92,42.05027107,41.3
110,R-B,1,0,0,0,0,0,1,1,R,2.3026,0.6764,4.1623,0.4569,6.5,39.3,6.99,49.82378572,32.7
111,Be-S-B,1,1,0,1,0,0,0,2,2f,2.1869,0.6704,3.855,0.3452,141.4,183,6.88,33.58646332,41.7
112,Be-V-B,1,1,1,0,0,0,0,2,2f,2.4742,0.9877,5.0601,0.3671,9.2,36.3,6.98,51.70412613,44.8
113,Be-A-B,1,1,0,0,1,0,0,2,2f,1.4047,0.6006,5.97,0.2993,39.4,99.3,7.11,80.21390374,36.7
114,V-P-B,1,0,1,0,0,1,0,2,2f,1.9953,1.1194,5.2597,0.445,24.6,94.8,6.97,35.86118653,41.8
115,V-A-B,1,0,1,0,1,0,0,2,2f,1.7279,1.2092,5.8503,0.4051,162.1,163.9,6.87,44.7165693,36.4
116,V-S-B,1,0,1,1,0,0,0,2,2f,1.8996,1.3249,5.4512,0.3651,114.1,171.9,6.99,43.96656685,31.2
117,A-R-B,1,0,0,0,1,0,1,2,2f,2.7456,1.3907,6.4728,0.3193,61.8,113,7.04,40.12289715,35.1
118,P-R-B,1,0,0,0,0,1,1,2,2f,1.3409,1.2231,4.4855,0.2873,137.1,137.1,6.9,63.68233874,39
119,S-P-B,1,0,0,1,0,1,0,2,2f,1.5045,1.0715,4.4017,0.409,145.2,204.3,6.9,41.57973174,43.3
120,S-R-B,1,0,0,1,0,0,1,2,2f,1.7718,0.7782,4.3019,0.5826,250.1,198.4,6.82,43.67211209,39.3
121,Be-V-S-A-B,1,1,1,1,1,0,0,4,4f,1.5564,0.3073,2.554,0.0678,111.4,102.4,6.82,54.58558815,37.1
122,Be-V-S-P-B,1,1,1,1,0,1,0,4,4f,1.265,0.2953,3.5836,0.0718,98.4,147.2,6.91,52.21283444,42.3
123,Be-V-S-R-B,1,1,1,1,0,0,1,4,4f,1.4446,0.4609,3.4479,0.1317,55.7,176.4,6.87,72.71076524,33
124,Be-V-A-P-B,1,1,1,0,1,1,0,4,4f,1.9395,0.8041,6.6684,0.3312,62.1,144.1,6.74,82.48699203,41.8
125,S-V-A-P-B,1,0,1,1,1,1,0,4,4f,1.708,0.5367,3.0329,0.1317,137.2,186.3,6.81,92.91036278,23.9
126,S-V-A-R-B,1,0,1,1,1,0,1,4,4f,1.3967,0.7163,4.0505,0.1457,94.4,196.8,6.63,76.13598673,36.2
127,S-V-P-R-B,1,0,1,1,0,1,1,4,4f,1.9235,0.872,3.7472,0.2414,25.3,73.2,6.79,63.68183926,44
128,S-A-P-R-B,1,0,0,1,1,1,1,4,4f,1.5524,0.6565,3.0688,0.1696,68.5,106.2,6.8,53.07741935,32.8
129,V-A-P-R-B,1,0,1,0,1,1,1,4,4f,1.4247,0.5427,2.8054,0.0898,127.4,99.9,6.95,64.90925649,42.6
130,Be-A-P-R-B,1,1,0,0,1,1,1,4,4f,,,,,,125.7,7.02,,37.2
131,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,2.1589,0.9578,3.5397,0.2754,27.4,37.9,6.81,49.17912684,39.9
132,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,2.0153,0.415,3.7672,0.1437,120.5,187.7,6.84,48.90390693,31.3
133,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.5763,0.7243,4.5015,0.2055,91.7,127.9,6.85,65.3374018,40.6
134,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.5005,0.5248,3.0089,0.1756,124.1,180.3,6.87,67.8768996,39.4
135,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,2.4343,1.0875,4.4935,0.2714,149.6,186.4,6.88,78.07520292,42.3
136,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.9115,0.7822,6.7921,0.3232,160.4,117.3,6.86,61.70608216,39.6
137,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.5923,0.7742,5.5869,0.3632,137.3,160.7,6.91,70.6371284,36
138,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.277,0.7502,2.9092,0.1656,122.8,188,6.82,46.4608637,44.3
139,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.6402,0.6864,8.7754,0.1676,117.1,145,6.6,28.48574238,36.8
140,Be-S-V-A-P-R-B,1,1,1,1,1,1,1,6,6f,1.8237,0.7303,5.3475,0.3073,222.9,206.4,6.91,92.96130855,35.7
